MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2001-04-06,Cottbus,VfL Wolfsburg,1584.23,1705.73,3.0,7.0,6.0,7.0
2001-04-07,1. FC Koln,Unterhaching,1674.25,1609.44,7.0,2.0,11.0,5.0
2001-04-07,Munich 1860,VfL Bochum,1649.04,1543.18,0.0,3.0,6.0,4.0
2001-04-07,Borussia Dortmund,Bayern Munich,1702.1,1837.83,4.0,6.0,8.0,7.0
2001-04-07,Eintracht Frankfurt,Bayer Leverkusen,1595.43,1746.48,2.0,6.0,2.0,6.0
2001-04-07,SC Freiburg,Hamburger SV,1668.54,1677.68,5.0,3.0,5.0,9.0
2001-04-07,Werder Bremen,Hertha,1704.2,1681.96,3.0,6.0,9.0,9.0
2001-04-08,Hansa Rostock,VfB Stuttgart,1632.71,1638.83,3.0,2.0,9.0,6.0
2001-04-08,Schalke 04,Kaiserslautern,1713.15,1750.99,5.0,6.0,6.0,9.0
2001-04-12,VfB Stuttgart,Cottbus,1638.83,1584.23,2.0,4.0,6.0,4.0
2001-04-14,Bayern Munich,Schalke 04,1837.83,1713.15,4.0,7.0,7.0,8.0
2001-04-14,VfL Bochum,Werder Bremen,1543.18,1704.2,6.0,6.0,6.0,9.0
2001-04-14,Hertha,Borussia Dortmund,1681.96,1702.1,3.0,4.0,9.0,8.0
2001-04-14,Kaiserslautern,Eintracht Frankfurt,1750.99,1595.43,3.0,1.0,9.0,2.0
2001-04-14,Bayer Leverkusen,SC Freiburg,1746.48,1668.54,6.0,5.0,9.0,6.0
2001-04-14,VfL Wolfsburg,Munich 1860,1705.73,1649.04,5.0,0.0,8.0,3.0
2001-04-15,Hamburger SV,1. FC Koln,1680.59,1670.32,3.0,5.0,7.0,11.0
2001-04-15,Unterhaching,Hansa Rostock,1614.22,1630.59,3.0,4.0,3.0,7.0
2001-04-20,Borussia Dortmund,VfL Bochum,1723.76,1567.97,4.0,6.0,5.0,6.0
2001-04-21,Cottbus,Unterhaching,1574.86,1614.22,1.0,3.0,4.0,4.0
2001-04-21,Eintracht Frankfurt,Bayern Munich,1586.74,1850.14,0.0,1.0,2.0,7.0
2001-04-21,Hansa Rostock,1. FC Koln,1630.59,1670.32,2.0,5.0,5.0,9.0
2001-04-21,Bayer Leverkusen,Hamburger SV,1756.02,1680.59,3.0,3.0,9.0,5.0
2001-04-21,Schalke 04,Hertha,1725.1,1675.3,9.0,6.0,11.0,9.0
2001-04-21,Werder Bremen,VfL Wolfsburg,1711.7,1705.29,9.0,4.0,9.0,8.0
2001-04-22,Munich 1860,VfB Stuttgart,1631.54,1645.99,3.0,4.0,3.0,6.0
2001-04-22,SC Freiburg,Kaiserslautern,1666.47,1707.96,7.0,3.0,9.0,9.0
2001-04-27,VfL Wolfsburg,Borussia Dortmund,1705.29,1723.76,4.0,4.0,8.0,7.0
2001-04-28,1. FC Koln,Cottbus,1670.32,1574.86,2.0,4.0,6.0,7.0
2001-04-28,Bayern Munich,SC Freiburg,1850.14,1666.47,4.0,7.0,7.0,11.0
